[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0.         0.         0.         0.         0.00029537]
[0.         0.         0.         0.00029537 0.0002363 ]
[0.         0.         0.00029537 0.0002363  0.        ]
[0.         0.00029537 0.0002363  0.         0.        ]
[0.00029537 0.0002363  0.         0.         0.        ]
[0.0002363 0.        0.        0.        0.       ]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0.        0.        0.        0.        0.9007345]
[0.         0.         0.         0.9007345  0.96881831]
[0.         0.         0.9007345  0.96881831 0.9673119 ]
[0.         0.9007345  0.96881831 0.9673119  0.96957643]
[0.9007345  0.96881831 0.9673119  0.96957643 0.96234435]
[0.96881831 0.9673119  0.96957643 0.96234435 0.95951401]
[0.9673119  0.96957643 0.96234435 0.95951401 0.96287143]
[0.96957643 0.96234435 0.95951401 0.96287143 0.96194593]
[0.96234435 0.95951401 0.96287143 0.96194593 0.95946478]
[0.95951401 0.96287143 0.96194593 0.95946478 0.96196759]
[0.96287143 0.96194593 0.95946478 0.96196759 0.96086289]
[0.96194593 0.95946478 0.96196759 0.96086289 0.96070535]
[0.95946478 0.96196759 0.96086289 0.96070535 0.95836205]
[0.96196759 0.96086289 0.96070535 0.95836205 0.96119764]
[0.96086289 0.96070535 0.95836205 0.96119764 0.96567749]
[0.96070535 0.95836205 0.96119764 0.96567749 0.96902507]
[0.95836205 0.96119764 0.96567749 0.96902507 0.9674353 ]
[0.96119764 0.96567749 0.96902507 0.9674353  0.97159483]
[0.96567749 0.96902507 0.9674353  0.97159483 0.97124038]
[0.96902507 0.9674353  0.97159483 0.97124038 0.96652423]
[0.9674353  0.97159483 0.97124038 0.96652423 0.9641317 ]
[0.97159483 0.97124038 0.96652423 0.9641317  0.96726267]
[0.97124038 0.96652423 0.9641317  0.96726267 0.96247301]
[0.96652423 0.9641317  0.96726267 0.96247301 0.9583719 ]
[0.9641317  0.96726267 0.96247301 0.9583719  0.95142075]
[0.96726267 0.96247301 0.9583719  0.95142075 0.95372467]
[0.96247301 0.9583719  0.95142075 0.95372467 0.91128921]
[0.9583719  0.95142075 0.95372467 0.91128921 0.50471615]
[0.95142075 0.95372467 0.91128921 0.50471615 0.28828151]
[0.95372467 0.91128921 0.50471615 0.28828151 0.18583975]
[0.91128921 0.50471615 0.28828151 0.18583975 0.06252092]
[0.50471615 0.28828151 0.18583975 0.06252092 0.        ]
[0.28828151 0.18583975 0.06252092 0.         0.        ]
[0.18583975 0.06252092 0.         0.         0.        ]
[0.06252092 0.         0.         0.         0.        ]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
[0. 0. 0. 0. 0.]
